"filename","signature"
"Bust-A-Move 2 - Arcade Edition (USA).z64","11860E27"
"Bust-A-Move 3 DX (USA) (Beta) (1998-08-28).z64","EE127DC9"
"California Speed (USA).z64","9A776B7C"
"Carmageddon 64 (USA).z64","71B58E1B"
"Carnivale - Cenzo's Adventure (USA) (Proto) (2000-07-21).z64","089953F4"
"Castlevania (USA) (Rev 1).z64","DD7A3C0E"
"Castlevania (USA) (Rev 2).z64","829D3617"
"Castlevania (USA).z64","8FB42992"
"Castlevania - Legacy of Darkness (USA).z64","571F4AA3"
"Chameleon Twist (USA) (Rev 1).z64","46445057"
"Chameleon Twist (USA).z64","E0304516"
"Chameleon Twist 2 (USA).z64","6E74E8E6"
"Charlie Blast's Territory (USA).z64","87607BB7"
"Chopper Attack (USA).z64","C538030C"
"Clay Fighter - Sculptor's Cut (USA).z64","7B8F200D"
"Clay Fighter 63 1-3 (USA) (Beta).z64","408FE860"
"Clay Fighter 63 1-3 (USA).z64","1C6DE8F2"
"Command & Conquer (USA).z64","DF587110"
"Conker's Bad Fur Day (USA) (Beta) (2000-08-26) (ECTS 2000).z64","20A9F7A2"
"Conker's Bad Fur Day (USA) (Beta) (2000-10-25).z64","261C877B"
"Conker's Bad Fur Day (USA).z64","20B8E93F"
"Cruis'n Exotica (USA).z64","2C00E5F4"
"Cruis'n USA (Europe).z64","48B8BC85"
"Cruis'n USA (USA) (Rev 1).z64","E06B3CA1"
"Cruis'n USA (USA) (Rev 2).z64","BA0A217E"
"Cruis'n USA (USA) (Wii Virtual Console).z64","2CD062BF"
"Cruis'n USA (USA).z64","9010E6A3"
"Cruis'n World (USA).z64","290E8150"
"CyberTiger (USA).z64","39A56F04"
"Dark Rift (USA).z64","9AD34AB6"
"Deadly Arts (USA).z64","7721BB23"
"Destruction Derby 64 (USA) (Beta) (1998-07-31).z64","9FD66AF2"
"Destruction Derby 64 (USA).z64","F3FF6662"
"Diddy Kong Racing (USA) (En,Fr) (Rev 1).z64","40DE0109"
"Diddy Kong Racing (USA) (En,Fr).z64","3E3CD2DD"
"Die Hard 64 (USA) (Proto) (Level 1).z64","06E15F09"
"Die Hard 64 (USA) (Proto) (Level 2).z64","A2DFE36A"
"Die Hard 64 (USA) (Proto) (Level 3).z64","1F487BC1"
"Dinosaur Planet (USA) (Proto) (2000-12-01).z64","0C35DB9C"
"Donald Duck - Goin' Quackers (USA) (En,Fr,De,Es,It).z64","AD688513"
"Donkey Kong 64 (USA) (Demo) (Kiosk).z64","B76EA329"
"Donkey Kong 64 (USA) (LodgeNet).z64","65A0733E"
"Donkey Kong 64 (USA).z64","89239B0E"
"Doom 64 (USA) (Beta) (1996-12-10).z64","AB6F7438"
"Doom 64 (USA) (Rev 1).z64","9A5CCBA2"
"Doom 64 (USA).z64","A2A5229D"
"Dr. Mario 64 (USA) (LodgeNet).z64","38820786"
"Dr. Mario 64 (USA).z64","3B356814"
"Dragon Sword 64 (USA) (Proto) (1999-08-25).z64","6A7F5559"
"Dual Heroes (USA).z64","1935AA23"
"Duck Dodgers Starring Daffy Duck (USA) (En,Fr,Es) (Beta 1).z64","331C86EC"
"Duck Dodgers Starring Daffy Duck (USA) (En,Fr,Es) (Beta 2) (2000-03-07).z64","86463773"
"Duck Dodgers Starring Daffy Duck (USA) (En,Fr,Es).z64","6352A50D"
"Duke Nukem - Zero Hour (USA) (Beta).z64","43AC25EB"
"Duke Nukem - Zero Hour (USA).z64","4A45416E"
"Duke Nukem 64 (USA).z64","E2BBF74F"
"ECW Hardcore Revolution (USA) (Beta).z64","67612185"
"ECW Hardcore Revolution (USA).z64","7093D06A"
"EEPROM & SRAM Erase Program (USA) (v1.2) (LodgeNet).z64","F3ED61CD"
"Earthworm Jim 3D (USA).z64","68D163CF"
"Excitebike 64 (USA) (Demo) (Kiosk).z64","E147BC49"
"Excitebike 64 (USA) (LodgeNet).z64","667AC84A"
"Excitebike 64 (USA) (Rev 1).z64","EC535928"
"Excitebike 64 (USA).z64","D0FB7472"
"Extreme-G (USA).z64","7C59B2A4"
"Extreme-G XG2 (USA).z64","3FBC42AF"
"F-1 World Grand Prix (USA).z64","EAEC4252"
"F-Zero X (USA) (Beta) (The Legend of Zelda - Ocarina of Time leftover data).z64","7A9CFA1E"
"F-Zero X (USA) (LodgeNet).z64","6BF49311"
"F-Zero X (USA).z64","7A9CFA1E"
"F1 Pole Position 64 (USA) (En,Fr,De).z64","E0EA96B2"
"F1 Racing Championship (USA) (Beta).z64","3B14EF26"
"FIFA - Road to World Cup 98 (USA) (En,Fr,De,Es,It,Nl,Sv).z64","887A8FE3"
"FIFA 99 (USA) (En,Fr,De,Es,It,Nl,Pt,Sv).z64","BAD023DF"
"FIFA Soccer 64 (USA) (En,Fr,De).z64","C3DA78E3"
"Fighter Destiny 2 (USA).z64","5218EB6C"
"Fighters Destiny (USA).z64","B5CE1A05"
"Fighting Force 64 (USA).z64","6101E995"
"Flying Dragon (USA).z64","5B7CAFAC"
"Forsaken 64 (USA).z64","E2207801"
"Fox Sports College Hoops '99 (USA).z64","48283C1B"
"Frogger 2 (USA) (Proto 1).z64","4AE829DC"
"Frogger 2 (USA) (Proto 2).z64","46D794E1"
"GT 64 - Championship Edition (USA) (Beta) (1998-05-25).z64","E4AA1414"
"GT 64 - Championship Edition (USA).z64","84D0E2E4"
"GameBooster 64 (USA) (v1.1) (Unl).bin","4923B652"
"GameShark Pro (USA) (v2.0) (Unl).bin","CBBD1261"
"GameShark Pro (USA) (v3.3) (Unl).bin","D8BEF4CA"
"Gauntlet Legends (USA) (LodgeNet).z64","4E1DFAEE"
"Gauntlet Legends (USA).z64","F43DB086"
"Gex 3 - Deep Cover Gecko (USA).z64","ADF6FA75"
"Gex 64 - Enter the Gecko (USA).z64","BB2A1DB7"
"Glover (USA) (1998-07-16) (Beta) [b].z64","BC6D52A2"
"Glover (USA) (1998-09-04) (Beta).z64","99E278F2"
"Glover (USA) (En,Fr,De) (Aftermarket) (Unl).z64","1A7DAA06"
"Glover (USA).z64","B9F1CB91"
"Glover 2 (USA) (Proto 1).z64","CDE43BAE"
"Glover 2 (USA) (Proto 2).z64","A4620E2B"
"Goemon's Great Adventure (USA).z64","17E9B6A1"
"Golden Nugget 64 (USA).z64","F0E918FF"
"GoldenEye 007 (USA).z64","AC631DA0"
"GoldenEye 007 (USA, Europe) (Switch Online).z64","AC631DA0"
"Harvest Moon 64 (USA).z64","9BFFFB3F"
"Hercules - The Legendary Journeys (USA) (Beta 1).z64","6C5D9FD3"
"Hercules - The Legendary Journeys (USA) (Beta 2).z64","933415DB"
"Hercules - The Legendary Journeys (USA).z64","8C6894B8"
"Hexen (USA).z64","F61D66E3"
"Hey You, Pikachu! (USA).z64","32CB1B48"
"Hot Wheels - Turbo Racing (USA).z64","BA557B6B"
"Hybrid Heaven (USA).z64","91D646C4"
"Hydro Thunder (USA) (LodgeNet).z64","90572F9D"
"Hydro Thunder (USA).z64","AC5F19FA"
"Iggy's Reckin' Balls (USA) (Beta).z64","1B984917"
"Iggy's Reckin' Balls (USA).z64","8433D173"
