"filename","signature"
"Castlevania (NTSC) (Rev 1)","DD7A3C0E"
"Castlevania (NTSC) (Rev 2)","829D3617"
"Castlevania (NTSC)","8FB42992"
"Castlevania - Legacy of Darkness (NTSC)","571F4AA3"
"Chameleon Twist (NTSC) (Rev 1)","46445057"
"Chameleon Twist (NTSC)","E0304516"
"Chameleon Twist 2 (NTSC)","6E74E8E6"
"Charlie Blast's Territory (NTSC)","87607BB7"
"Chopper Attack (NTSC)","C538030C"
"Clay Fighter - Sculptor's Cut (NTSC)","7B8F200D"
"Clay Fighter 63 1-3 (NTSC) (Beta)","408FE860"
"Clay Fighter 63 1-3 (NTSC)","1C6DE8F2"
"Command & Conquer (NTSC)","DF587110"
"Conker's Bad Fur Day (NTSC) (Beta) (2000-08-26) (ECTS 2000)","20A9F7A2"
"Conker's Bad Fur Day (NTSC) (Beta) (2000-10-25)","261C877B"
"Conker's Bad Fur Day (NTSC)","20B8E93F"
"Cruis'n Exotica (NTSC)","2C00E5F4"
"Cruis'n USA (PAL)","48B8BC85"
"Cruis'n USA (NTSC) (Rev 1)","E06B3CA1"
"Cruis'n USA (NTSC) (Rev 2)","BA0A217E"
"Cruis'n USA (NTSC) (Wii Virtual Console)","2CD062BF"
"Cruis'n USA (NTSC)","9010E6A3"
"Cruis'n World (NTSC)","290E8150"
"CyberTiger (NTSC)","39A56F04"
"Dark Rift (NTSC)","9AD34AB6"
"Deadly Arts (NTSC)","7721BB23"
"Destruction Derby 64 (NTSC) (Beta) (1998-07-31)","9FD66AF2"
"Destruction Derby 64 (NTSC)","F3FF6662"
"Diddy Kong Racing (NTSC) (En,Fr) (Rev 1)","40DE0109"
"Diddy Kong Racing (NTSC) (En,Fr)","3E3CD2DD"
"Die Hard 64 (NTSC) (Proto) (Level 1)","06E15F09"
"Die Hard 64 (NTSC) (Proto) (Level 2)","A2DFE36A"
"Die Hard 64 (NTSC) (Proto) (Level 3)","1F487BC1"
"Dinosaur Planet (NTSC) (Proto) (2000-12-01)","0C35DB9C"
"Donald Duck - Goin' Quackers (NTSC) (En,Fr,De,Es,It)","AD688513"
"Donkey Kong 64 (NTSC) (Demo) (Kiosk)","B76EA329"
"Donkey Kong 64 (NTSC) (LodgeNet)","65A0733E"
"Donkey Kong 64 (NTSC)","89239B0E"
"Doom 64 (NTSC) (Beta) (1996-12-10)","AB6F7438"
"Doom 64 (NTSC) (Rev 1)","9A5CCBA2"
"Doom 64 (NTSC)","A2A5229D"
"Dr. Mario 64 (NTSC) (LodgeNet)","38820786"
"Dr. Mario 64 (NTSC)","3B356814"
"Dragon Sword 64 (NTSC) (Proto) (1999-08-25)","6A7F5559"
"Dual Heroes (NTSC)","1935AA23"
"Duck Dodgers Starring Daffy Duck (NTSC) (En,Fr,Es) (Beta 1)","331C86EC"
"Duck Dodgers Starring Daffy Duck (NTSC) (En,Fr,Es) (Beta 2) (2000-03-07)","86463773"
"Duck Dodgers Starring Daffy Duck (NTSC) (En,Fr,Es)","6352A50D"
"Duke Nukem - Zero Hour (NTSC) (Beta)","43AC25EB"
"Duke Nukem - Zero Hour (NTSC)","4A45416E"
"Duke Nukem 64 (NTSC)","E2BBF74F"
"ECW Hardcore Revolution (NTSC) (Beta)","67612185"
"ECW Hardcore Revolution (NTSC)","7093D06A"
"EEPROM & SRAM Erase Program (NTSC) (v1.2) (LodgeNet)","F3ED61CD"
"Earthworm Jim 3D (NTSC)","68D163CF"
"Excitebike 64 (NTSC) (Demo) (Kiosk)","E147BC49"
"Excitebike 64 (NTSC) (LodgeNet)","667AC84A"
"Excitebike 64 (NTSC) (Rev 1)","EC535928"
"Excitebike 64 (NTSC)","D0FB7472"
"Extreme-G (NTSC)","7C59B2A4"
"Extreme-G XG2 (NTSC)","3FBC42AF"
"F-1 World Grand Prix (NTSC)","EAEC4252"
"F-Zero X (NTSC) (LodgeNet)","6BF49311"
"F-Zero X (NTSC)","7A9CFA1E"
"F1 Pole Position 64 (NTSC) (En,Fr,De)","E0EA96B2"
"F1 Racing Championship (NTSC) (Beta)","3B14EF26"
"FIFA - Road to World Cup 98 (NTSC) (En,Fr,De,Es,It,Nl,Sv)","887A8FE3"
"FIFA 99 (NTSC) (En,Fr,De,Es,It,Nl,Pt,Sv)","BAD023DF"
"FIFA Soccer 64 (NTSC) (En,Fr,De)","C3DA78E3"
"Fighter Destiny 2 (NTSC)","5218EB6C"
"Fighters Destiny (NTSC)","B5CE1A05"
"Fighting Force 64 (NTSC)","6101E995"
"Flying Dragon (NTSC)","5B7CAFAC"
"Forsaken 64 (NTSC)","E2207801"
"Fox Sports College Hoops '99 (NTSC)","48283C1B"
"Frogger 2 (NTSC) (Proto 1)","4AE829DC"
"Frogger 2 (NTSC) (Proto 2)","46D794E1"
"GT 64 - Championship Edition (NTSC) (Beta) (1998-05-25)","E4AA1414"
"GT 64 - Championship Edition (NTSC)","84D0E2E4"
"GameBooster 64 (NTSC) (v1.1) (Unl).bin","4923B652"
"GameShark Pro (NTSC) (v2.0) (Unl).bin","CBBD1261"
"GameShark Pro (NTSC) (v3.3) (Unl).bin","D8BEF4CA"
"Gauntlet Legends (NTSC) (LodgeNet)","4E1DFAEE"
"Gauntlet Legends (NTSC)","F43DB086"
"Gex 3 - Deep Cover Gecko (NTSC)","ADF6FA75"
"Gex 64 - Enter the Gecko (NTSC)","BB2A1DB7"
"Glover (NTSC) (1998-07-16) (Beta) [b]","BC6D52A2"
"Glover (NTSC) (1998-09-04) (Beta)","99E278F2"
"Glover (NTSC) (En,Fr,De) (Aftermarket) (Unl)","1A7DAA06"
"Glover (NTSC)","B9F1CB91"
"Glover 2 (NTSC) (Proto 1)","CDE43BAE"
"Glover 2 (NTSC) (Proto 2)","A4620E2B"
"Goemon's Great Adventure (NTSC)","17E9B6A1"
"Golden Nugget 64 (NTSC)","F0E918FF"
"GoldenEye 007 (NTSC)","AC631DA0"
"Harvest Moon 64 (NTSC)","9BFFFB3F"
"Hercules - The Legendary Journeys (NTSC) (Beta 1)","6C5D9FD3"
"Hercules - The Legendary Journeys (NTSC) (Beta 2)","933415DB"
"Hercules - The Legendary Journeys (NTSC)","8C6894B8"
"Hexen (NTSC)","F61D66E3"
"Hey You, Pikachu! (NTSC)","32CB1B48"
"Hot Wheels - Turbo Racing (NTSC)","BA557B6B"
"Hybrid Heaven (NTSC)","91D646C4"
"Hydro Thunder (NTSC) (LodgeNet)","90572F9D"
"Hydro Thunder (NTSC)","AC5F19FA"
"Iggy's Reckin' Balls (NTSC) (Beta)","1B984917"
"Iggy's Reckin' Balls (NTSC)","8433D173"
"In-Fisherman - Bass Hunter 64 (NTSC)","C2494E54"
"Indiana Jones and the Infernal Machine (NTSC)","474FE11B"
"Indy Racing 2000 (NTSC)","BA67D4E1"
"International Superstar Soccer '98 (NTSC)","F785EDB4"
"International Superstar Soccer 2000 (NTSC) (En,Es) (Rev 1)","1D7FCCFE"
"International Superstar Soccer 2000 (NTSC) (En,Es)","A63CC09A"
"International Superstar Soccer 64 (NTSC)","17E4AEB2"
"International Track & Field 2000 (NTSC)","4923D13B"
"Jeopardy! (NTSC)","BE433913"
"Jeremy McGrath Supercross 2000 (NTSC) (Beta)","D2DD7E22"
"Jeremy McGrath Supercross 2000 (NTSC)","563B66FA"
"Jet Force Gemini (NTSC) (Demo) (Kiosk)","99A87281"
"Jet Force Gemini (NTSC)","8CAD7830"
"John Romero's Daikatana (NTSC)","7883F218"
"Ken Griffey Jr.'s Slugfest (NTSC)","3884976C"
"Killer Instinct Gold (NTSC) (Rev 1)","B5B713CD"
"Killer Instinct Gold (NTSC) (Rev 2)","9DF2A0FB"
"Killer Instinct Gold (NTSC)","9A028D50"
"Kirby 64 - The Crystal Shards (NTSC) (LodgeNet)","408EAED1"
"Kirby 64 - The Crystal Shards (NTSC)","C2A949F2"
"Knife Edge - Nose Gunner (NTSC)","34C2C4A8"
"Knockout Kings 2000 (NTSC)","2FA7D906"
"Kobe Bryant in NBA Courtside (NTSC)","717CB88D"
"LEGO Racers (NTSC) (En,Fr,De,Es,It,Nl,Sv,No,Da,Fi)","5172939B"
"Legend of Zelda, The - Majora's Mask (NTSC) (Demo) (Kiosk)","8BE5BAAC"
"Legend of Zelda, The - Majora's Mask (NTSC) (GameCube)","C2871DAA"
"Legend of Zelda, The - Majora's Mask (NTSC) (LodgeNet)","5155B15E"
"Legend of Zelda, The - Majora's Mask (NTSC)","8E94F2DD"
"Legend of Zelda, The - Ocarina of Time (NTSC) (Beta)","01FCA7FF"
"Legend of Zelda, The - Ocarina of Time (NTSC) (GameCube)","93EC156D"
"Legend of Zelda, The - Ocarina of Time (NTSC) (LodgeNet)","5B949DC4"
"Legend of Zelda, The - Ocarina of Time (NTSC) (Rev 1)","53D8A515"
"Legend of Zelda, The - Ocarina of Time (NTSC) (Rev 2)","FCF7FF34"
"Legend of Zelda, The - Ocarina of Time (NTSC)","E5240D18"
"Legend of Zelda, The - Ocarina of Time - Master Quest (NTSC) (GameCube)","D7C30219"
"Legend of Zelda, The - The Sealed Palace (NTSC) (v1.21) (Aftermarket) (Pirate)","0CE174EB"
"Legend of Zelda, The - The Sealed Palace (NTSC) (v1.3) (Aftermarket) (Pirate)","905617CE"
"Lode Runner 3-D (NTSC)","12E55D5E"
"MRC - Multi-Racing Championship (NTSC)","377E874D"
"Mace - The Dark Age (NTSC) (Beta)","14D6AAE2"
"Mace - The Dark Age (NTSC)","871BBC72"
"Madden Football 64 (NTSC)","7CA344CC"
"Madden NFL 2000 (NTSC)","BA12A9A9"
"Madden NFL 2001 (NTSC)","E009A99C"
"Madden NFL 2002 (NTSC)","636C6FF8"
"Madden NFL 99 (NTSC) (1998-08-05) (Beta)","3AF8CF55"
"Madden NFL 99 (NTSC) (Rev 1)","555EA2FB"
"Madden NFL 99 (NTSC)","088CA0DB"
"Magical Tetris Challenge (NTSC)","DD780ABF"
"Major League Baseball Featuring Ken Griffey Jr. (NTSC)","04243654"
"Mario Golf (NTSC) (LodgeNet)","A89F70E8"
"Mario Golf (NTSC)","646054A7"
"Mario Kart 64 (NTSC) (LodgeNet)","7F2D392F"
"Mario Kart 64 (NTSC)","03CC04EE"
"Mario Party (NTSC)","025B1BEB"
"Mario Party 2 (NTSC)","6BB03F80"
"Mario Party 3 (NTSC) (Beta)","660A44DC"
"Mario Party 3 (NTSC) (LodgeNet)","403092EB"
"Mario Party 3 (NTSC)","9613A218"
"Mario Tennis (NTSC) (LodgeNet)","88650D39"
"Mario Tennis (NTSC) (Wii Virtual Console)","6B66D63B"
"Mario Tennis (NTSC)","6A8078F5"
"Mega Man 64 (NTSC) (Beta)","168E2FD8"
"Mega Man 64 (NTSC)","02E906A1"
"Mia Hamm Soccer 64 (NTSC) (En,Es)","E61E368A"
"Mickey no Racing Challenge USA (NTSC-J)","0546998B"
"Mickey's Speedway USA (PAL) (En,Fr,De,Es,It)","194958ED"
"Mickey's Speedway USA (NTSC)","F0280886"
"Micro Machines 64 Turbo (NTSC)","F79F53CF"
"Midway's Greatest Arcade Hits - Volume 1 (NTSC) (LodgeNet)","41C5AB0D"
"Midway's Greatest Arcade Hits - Volume 1 (NTSC)","47F55A65"
"Mike Piazza's Strike Zone (NTSC)","844E2678"
"Milo's Astro Lanes (NTSC)","97A533C0"
